trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
247,False,"{'a': 0.8, 'e': 0.024600217367638302}",25,10,23.44980246331751,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.8, 'e': 0.024233967845691123}",25,13,22.946146193183367,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.8, 'e': 0.023873171068747034}",25,6,12.871012959795362,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
250,False,"{'a': 0.8, 'e': 0.023517745856009107}",20,12,14.754313066383506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.8, 'e': 0.02316761223530503}",20,7,10.88026033847671,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.8, 'e': 0.02282269142509298}",20,6,22.573430426361845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.8, 'e': 0.02248290581673553}",25,13,17.496610581314375,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.8, 'e': 0.022148178957037315}",20,10,-2.3842983705439647,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
255,False,"{'a': 0.8, 'e': 0.021818435531042773}",20,8,17.63407666948303,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.8, 'e': 0.021493601345089923}",20,7,-18.11577877208666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.8, 'e': 0.02117360331011653}",25,13,19.954790222535532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.8, 'e': 0.020858369425214726}",25,15,20.60647304638884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.8, 'e': 0.020547828761430496}",20,1,29.6084962900566,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.8, 'e': 0.02024191144580439}",25,8,29.45513787058843,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.8, 'e': 0.019940548645649796}",25,11,19.34441145053022,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.8, 'e': 0.0196436725530653}",25,7,32.01843913445062,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.8, 'e': 0.019351216369677602}",20,8,15.646107853140112,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.8, 'e': 0.019063114291611637}",25,13,22.914199497707585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.8, 'e': 0.01877930149468441}",30,7,38.335208509408666,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.8, 'e': 0.01849971411981925}",30,17,23.07423765744793,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.8, 'e': 0.018224289258677303}",20,9,18.509008292506277,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.8, 'e': 0.017952964939502866}",25,17,18.136586787074684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.8, 'e': 0.017685680113179437}",30,13,33.619401178270195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.8, 'e': 0.017422374639493515}",20,14,13.27971347959625,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.8, 'e': 0.017162989273602672}",20,16,8.9376115404743,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.8, 'e': 0.01690746565270528}",20,6,24.28021949089586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.8, 'e': 0.016655746282908664}",20,16,9.148672822957488,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.8, 'e': 0.01640777452629266}",30,16,23.073907719972997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.8, 'e': 0.016163494588165874}",30,9,28.669781368055606,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.8, 'e': 0.015922851504511698}",30,19,20.42497872760218,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.8, 'e': 0.015685791129621054}",35,21,26.011656312906116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.8, 'e': 0.015452260123909515}",35,28,10.583695765219092,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.8, 'e': 0.015222205941915569}",25,20,8.784693364675153,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.8, 'e': 0.014995576820477703}",25,8,34.49876409440595,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.8, 'e': 0.014772321767087523}",30,21,14.831921937358167,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.8, 'e': 0.014552390548416136}",25,8,24.945410970178642,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.8, 'e': 0.01433573367901149}",25,7,29.38610459344356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.8, 'e': 0.014122302410163962}",20,7,22.125810865455072,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.8, 'e': 0.013912048718937631}",30,18,10.627383126013468,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.8, 'e': 0.013704925297364945}",30,13,26.585982840591782,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.8, 'e': 0.013500885541802265}",25,20,11.869605353601905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.8, 'e': 0.013299883542443767}",25,18,12.577447851565777,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.8, 'e': 0.013101874072991637}",25,7,35.30026721064283,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.8, 'e': 0.012906812580479873}",20,8,14.475037605241814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.8, 'e': 0.012714655175249731}",25,14,15.983655978924961,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.8, 'e': 0.012525358621074385}",25,9,32.08278547844364,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.8, 'e': 0.012338880325430533}",25,8,25.02584582625446,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.8, 'e': 0.012155178329914935}",20,15,2.9187138764848326,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.8, 'e': 0.011974211300803622}",20,7,20.633625613808412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.8, 'e': 0.011795938519751572}",30,17,25.666145192343798,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.8, 'e': 0.011620319874630945}",20,7,23.428024769358245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.8, 'e': 0.01144731585050571}",25,15,23.03006921425937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.8, 'e': 0.011276887520740568}",20,11,14.714872236997719,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.8, 'e': 0.011108996538242306}",20,13,12.57594021624703,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.8, 'e': 0.01094360512683159}",20,8,17.650149326993237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.8, 'e': 0.010780676072743084}",20,12,16.0208430909651,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.8, 'e': 0.01062017271625227}",25,16,16.74114507007032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.8, 'e': 0.010462058943426803}",20,14,11.886585619861732,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.8, 'e': 0.01030629917800074}",20,9,21.005667205081732,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.8, 'e': 0.010152858373369763}",20,15,8.667094037596234,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
